Frame,Rotation_X,Rotation_Y,Rotation_Z
0,0.000000,0.000000,0.000000
1,0.000000,-0.045448,0.000000
2,0.000000,-0.168808,0.000000
3,0.000000,-0.350602,0.000000
4,0.000000,-0.571351,0.000000
5,0.000000,-0.811578,0.000000
6,0.000000,-1.051805,0.000000
7,0.000000,-1.272554,0.000000
8,0.000000,-1.454348,0.000000
9,0.000000,-1.577708,0.000000
10,0.000000,-1.623156,0.000000
11,0.018570,-1.623156,0.000000
12,0.068975,-1.623156,0.000000
13,0.143257,-1.623156,0.000000
14,0.233455,-1.623156,0.000000
15,0.331613,-1.623156,0.000000
16,0.429770,-1.623156,0.000000
17,0.519969,-1.623156,0.000000
18,0.594250,-1.623156,0.000000
19,0.644655,-1.623156,0.000000
20,0.663225,-1.623156,0.000000
21,0.663225,-1.679844,0.000000
22,0.663225,-1.833713,0.000000
23,0.663225,-2.060466,0.000000
24,0.663225,-2.335809,0.000000
25,0.663225,-2.635447,0.000000
26,0.663225,-2.935085,0.000000
27,0.663225,-3.210428,0.000000
28,0.663225,-3.437181,0.000000
29,0.663225,-3.591050,0.000000
30,0.663225,-3.647738,0.000000
31,0.644655,-3.647738,0.000000
32,0.594250,-3.647738,0.000000
33,0.519968,-3.647738,0.000000
34,0.429770,-3.647738,0.000000
35,0.331613,-3.647738,0.000000
36,0.233455,-3.647738,0.000000
37,0.143257,-3.647738,0.000000
38,0.068975,-3.647738,0.000000
39,0.018570,-3.647738,0.000000
40,0.000000,-3.647738,0.000000
41,0.000000,-3.647738,0.043982
42,0.000000,-3.647738,0.163363
43,0.000000,-3.647738,0.339292
44,0.000000,-3.647738,0.552920
45,0.000000,-3.647738,0.785398
46,0.000000,-3.647738,1.017876
47,0.000000,-3.647738,1.231504
48,0.000000,-3.647738,1.407433
49,0.000000,-3.647738,1.526814
50,0.000000,-3.647738,1.570796
51,-0.029810,-3.721530,1.526814
52,-0.110724,-3.921825,1.407434
53,-0.229965,-4.216995,1.231504
54,-0.374757,-4.575416,1.017876
55,-0.532325,-4.965462,0.785398
56,-0.689894,-5.355508,0.552920
57,-0.834686,-5.713929,0.339292
58,-0.953927,-6.009098,0.163363
59,-1.034841,-6.209393,0.043983
60,-1.064651,-6.283185,0.000000
61,-1.034841,-6.283185,0.000000
62,-0.953927,-6.283185,0.000000
63,-0.834686,-6.283185,0.000000
64,-0.689894,-6.283185,0.000000
65,-0.532325,-6.283185,0.000000
66,-0.374757,-6.283185,0.000000
67,-0.229964,-6.283185,0.000000
68,-0.110723,-6.283185,0.000000
69,-0.029810,-6.283185,0.000000
70,0.000000,-6.283185,0.000000
